H_upper,B_upper,H_lower,B_lower,H_init,B_init
-200000,-2.15111365962,-200000,-2.15111371304,-200000,-2.15111368633
-199996,-2.15110862879,-199996,-2.15110868222,-199996,-2.15110865551
-199992,-2.15110359797,-199992,-2.1511036514,-199992,-2.15110362468
-199988,-2.15109856714,-199988,-2.15109862058,-199988,-2.15109859386
-199984,-2.15109353632,-199984,-2.15109358975,-199984,-2.15109356304
-199980,-2.1510885055,-199980,-2.15108855893,-199980,-2.15108853221
-199976,-2.15108347467,-199976,-2.15108352811,-199976,-2.15108350139
-199972,-2.15107844385,-199972,-2.15107849729,-199972,-2.15107847057
-199968,-2.15107341302,-199968,-2.15107346647,-199968,-2.15107343974
-199964,-2.1510683822,-199964,-2.15106843564,-199964,-2.15106840892
-199960,-2.15106335137,-199960,-2.15106340482,-199960,-2.1510633781
-199956,-2.15105832055,-199956,-2.151058374,-199956,-2.15105834727
-199952,-2.15105328972,-199952,-2.15105334317,-199952,-2.15105331645
-199948,-2.1510482589,-199948,-2.15104831235,-199948,-2.15104828562
-199944,-2.15104322807,-199944,-2.15104328153,-199944,-2.1510432548
-199940,-2.15103819725,-199940,-2.1510382507,-199940,-2.15103822397
-199936,-2.15103316642,-199936,-2.15103321988,-199936,-2.15103319315
-199932,-2.15102813559,-199932,-2.15102818906,-199932,-2.15102816232
-199928,-2.15102310477,-199928,-2.15102315823,-199928,-2.1510231315
-199924,-2.15101807394,-199924,-2.15101812741,-199924,-2.15101810067
-199920,-2.15101304311,-199920,-2.15101309658,-199920,-2.15101306985
-199916,-2.15100801229,-199916,-2.15100806576,-199916,-2.15100803902
-199912,-2.15100298146,-199912,-2.15100303493,-199912,-2.1510030082
-199908,-2.15099795063,-199908,-2.15099800411,-199908,-2.15099797737
-199904,-2.15099291981,-199904,-2.15099297328,-199904,-2.15099294654
-199900,-2.15098788898,-199900,-2.15098794246,-199900,-2.15098791572
-199896,-2.15098285815,-199896,-2.15098291163,-199896,-2.15098288489
-199892,-2.15097782732,-199892,-2.15097788081,-199892,-2.15097785406
-199888,-2.15097279649,-199888,-2.15097284998,-199888,-2.15097282324
-199884,-2.15096776567,-199884,-2.15096781915,-199884,-2.15096779241
-199880,-2.15096273484,-199880,-2.15096278833,-199880,-2.15096276158
-199876,-2.15095770401,-199876,-2.1509577575,-199876,-2.15095773076
-199872,-2.15095267318,-199872,-2.15095272667,-199872,-2.15095269993
-199868,-2.15094764235,-199868,-2.15094769585,-199868,-2.1509476691
-199864,-2.15094261152,-199864,-2.15094266502,-199864,-2.15094263827
-199860,-2.15093758069,-199860,-2.15093763419,-199860,-2.15093760744
-199856,-2.15093254986,-199856,-2.15093260337,-199856,-2.15093257661
-199852,-2.15092751903,-199852,-2.15092757254,-199852,-2.15092754579
-199848,-2.1509224882,-199848,-2.15092254171,-199848,-2.15092251496
-199844,-2.15091745737,-199844,-2.15091751088,-199844,-2.15091748413
-199840,-2.15091242654,-199840,-2.15091248006,-199840,-2.1509124533
-199836,-2.15090739571,-199836,-2.15090744923,-199836,-2.15090742247
-199832,-2.15090236488,-199832,-2.1509024184,-199832,-2.15090239164
-199828,-2.15089733405,-199828,-2.15089738757,-199828,-2.15089736081
-199824,-2.15089230322,-199824,-2.15089235674,-199824,-2.15089232998
-199820,-2.15088727239,-199820,-2.15088732591,-199820,-2.15088729915
-199816,-2.15088224156,-199816,-2.15088229508,-199816,-2.15088226832
-199812,-2.15087721073,-199812,-2.15087726425,-199812,-2.15087723749
-199808,-2.1508721799,-199808,-2.15087223343,-199808,-2.15087220666
-199804,-2.15086714907,-199804,-2.1508672026,-199804,-2.15086717583
-199800,-2.15086211823,-199800,-2.15086217177,-199800,-2.150862145
-199796,-2.1508570874,-199796,-2.15085714094,-199796,-2.15085711417
-199792,-2.15085205657,-199792,-2.15085211011,-199792,-2.15085208334
-199788,-2.15084702574,-199788,-2.15084707928,-199788,-2.15084705251
-199784,-2.1508419949,-199784,-2.15084204845,-199784,-2.15084202168
-199780,-2.15083696407,-199780,-2.15083701762,-199780,-2.15083699084
-199776,-2.15083193324,-199776,-2.15083198678,-199776,-2.15083196001
-199772,-2.15082690241,-199772,-2.15082695595,-199772,-2.15082692918
-199768,-2.15082187157,-199768,-2.15082192512,-199768,-2.15082189835
-199764,-2.15081684074,-199764,-2.15081689429,-199764,-2.15081686752
-199760,-2.15081180991,-199760,-2.15081186346,-199760,-2.15081183668
-199756,-2.15080677907,-199756,-2.15080683263,-199756,-2.15080680585
-199752,-2.15080174824,-199752,-2.1508018018,-199752,-2.15080177502
-199748,-2.1507967174,-199748,-2.15079677096,-199748,-2.15079674418
-199744,-2.15079168657,-199744,-2.15079174013,-199744,-2.15079171335
-199740,-2.15078665574,-199740,-2.1507867093,-199740,-2.15078668252
-199736,-2.1507816249,-199736,-2.15078167847,-199736,-2.15078165168
-199732,-2.15077659407,-199732,-2.15077664764,-199732,-2.15077662085
-199728,-2.15077156323,-199728,-2.1507716168,-199728,-2.15077159002
-199724,-2.1507665324,-199724,-2.15076658597,-199724,-2.15076655918
-199720,-2.15076150156,-199720,-2.15076155514,-199720,-2.15076152835
-199716,-2.15075647073,-199716,-2.1507565243,-199716,-2.15075649751
-199712,-2.15075143989,-199712,-2.15075149347,-199712,-2.15075146668
-199708,-2.15074640905,-199708,-2.15074646264,-199708,-2.15074643585
-199704,-2.15074137822,-199704,-2.1507414318,-199704,-2.15074140501
-199700,-2.15073634738,-199700,-2.15073640097,-199700,-2.15073637418
-199696,-2.15073131655,-199696,-2.15073137013,-199696,-2.15073134334
-199692,-2.15072628571,-199692,-2.1507263393,-199692,-2.1507263125
-199688,-2.15072125487,-199688,-2.15072130847,-199688,-2.15072128167
-199684,-2.15071622404,-199684,-2.15071627763,-199684,-2.15071625083
-199680,-2.1507111932,-199680,-2.1507112468,-199680,-2.15071122
-199676,-2.15070616236,-199676,-2.15070621596,-199676,-2.15070618916
-199672,-2.15070113152,-199672,-2.15070118513,-199672,-2.15070115833
-199668,-2.15069610069,-199668,-2.15069615429,-199668,-2.15069612749
-199664,-2.15069106985,-199664,-2.15069112345,-199664,-2.15069109665
-199660,-2.15068603901,-199660,-2.15068609262,-199660,-2.15068606582
-199656,-2.15068100817,-199656,-2.15068106178,-199656,-2.15068103498
-199652,-2.15067597734,-199652,-2.15067603095,-199652,-2.15067600414
-199648,-2.1506709465,-199648,-2.15067100011,-199648,-2.1506709733
-199644,-2.15066591566,-199644,-2.15066596927,-199644,-2.15066594247
-199640,-2.15066088482,-199640,-2.15066093844,-199640,-2.15066091163
-199636,-2.15065585398,-199636,-2.1506559076,-199636,-2.15065588079
-199632,-2.15065082314,-199632,-2.15065087676,-199632,-2.15065084995
-199628,-2.1506457923,-199628,-2.15064584593,-199628,-2.15064581911
-199624,-2.15064076146,-199624,-2.15064081509,-199624,-2.15064078828
-199620,-2.15063573062,-199620,-2.15063578425,-199620,-2.15063575744
-199616,-2.15063069978,-199616,-2.15063075342,-199616,-2.1506307266
-199612,-2.15062566894,-199612,-2.15062572258,-199612,-2.15062569576
-199608,-2.1506206381,-199608,-2.15062069174,-199608,-2.15062066492
-199604,-2.15061560726,-199604,-2.1506156609,-199604,-2.15061563408
-199600,-2.15061057642,-199600,-2.15061063006,-199600,-2.15061060324
-199596,-2.15060554558,-199596,-2.15060559922,-199596,-2.1506055724
-199592,-2.15060051474,-199592,-2.15060056839,-199592,-2.15060054156
-199588,-2.1505954839,-199588,-2.15059553755,-199588,-2.15059551072
-199584,-2.15059045306,-199584,-2.15059050671,-199584,-2.15059047988
-199580,-2.15058542222,-199580,-2.15058547587,-199580,-2.15058544904
-199576,-2.15058039138,-199576,-2.15058044503,-199576,-2.1505804182
-199572,-2.15057536054,-199572,-2.15057541419,-199572,-2.15057538736
-199568,-2.15057032969,-199568,-2.15057038335,-199568,-2.15057035652
-199564,-2.15056529885,-199564,-2.15056535251,-199564,-2.15056532568
-199560,-2.15056026801,-199560,-2.15056032167,-199560,-2.15056029484
-199556,-2.15055523717,-199556,-2.15055529083,-199556,-2.150555264
-199552,-2.15055020632,-199552,-2.15055025999,-199552,-2.15055023316
-199548,-2.15054517548,-199548,-2.15054522915,-199548,-2.15054520232
-199544,-2.15054014464,-199544,-2.15054019831,-199544,-2.15054017147
-199540,-2.1505351138,-199540,-2.15053516747,-199540,-2.15053514063
-199536,-2.15053008295,-199536,-2.15053013663,-199536,-2.15053010979
-199532,-2.15052505211,-199532,-2.15052510579,-199532,-2.15052507895
-199528,-2.15052002127,-199528,-2.15052007494,-199528,-2.15052004811
-199524,-2.15051499042,-199524,-2.1505150441,-199524,-2.15051501726
-199520,-2.15050995958,-199520,-2.15051001326,-199520,-2.15050998642
-199516,-2.15050492873,-199516,-2.15050498242,-199516,-2.15050495558
-199512,-2.15049989789,-199512,-2.15049995158,-199512,-2.15049992473
-199508,-2.15049486705,-199508,-2.15049492074,-199508,-2.15049489389
-199504,-2.1504898362,-199504,-2.15048988989,-199504,-2.15048986305
-199500,-2.15048480536,-199500,-2.15048485905,-199500,-2.1504848322
-199496,-2.15047977451,-199496,-2.15047982821,-199496,-2.15047980136
-199492,-2.15047474367,-199492,-2.15047479736,-199492,-2.15047477052
-199488,-2.15046971282,-199488,-2.15046976652,-199488,-2.15046973967
-199484,-2.15046468198,-199484,-2.15046473568,-199484,-2.15046470883
-199480,-2.15045965113,-199480,-2.15045970484,-199480,-2.15045967798
-199476,-2.15045462028,-199476,-2.15045467399,-199476,-2.15045464714
-199472,-2.15044958944,-199472,-2.15044964315,-199472,-2.15044961629
-199468,-2.15044455859,-199468,-2.1504446123,-199468,-2.15044458545
-199464,-2.15043952775,-199464,-2.15043958146,-199464,-2.1504395546
-199460,-2.1504344969,-199460,-2.15043455062,-199460,-2.15043452376
-199456,-2.15042946605,-199456,-2.15042951977,-199456,-2.15042949291
-199452,-2.15042443521,-199452,-2.15042448893,-199452,-2.15042446207
-199448,-2.15041940436,-199448,-2.15041945808,-199448,-2.15041943122
-199444,-2.15041437351,-199444,-2.15041442724,-199444,-2.15041440037
-199440,-2.15040934267,-199440,-2.15040939639,-199440,-2.15040936953
-199436,-2.15040431182,-199436,-2.15040436555,-199436,-2.15040433868
-199432,-2.15039928097,-199432,-2.1503993347,-199432,-2.15039930784
-199428,-2.15039425012,-199428,-2.15039430385,-199428,-2.15039427699
