H_A_per_m,B_T
0.000000000000000000e+00,0.000000000000000000e+00
1.310093041684012860e-02,2.499999922031385415e-04
2.620368145289830863e-02,4.999999760632315359e-04
3.930823582049924880e-02,7.499999522936173346e-04
5.241457614465616643e-02,9.999999204068088249e-04
6.552268505038227886e-02,1.249999880376325128e-03
7.863254516269080341e-02,1.499999832632272498e-03
9.174413901928346604e-02,1.749999776392252484e-03
1.048574492015177384e-01,1.999999712154692990e-03
1.179724582470953465e-01,2.249999640029620371e-03
1.310891486500622705e-01,2.499999559734742208e-03
1.442075029044644907e-01,2.749999471423415429e-03
1.573275035043479875e-01,2.999999375680166818e-03
1.704491328564472497e-01,3.249999271852807570e-03
1.835723733674967661e-01,3.499999159712162498e-03
1.966972074442310259e-01,3.749999039447552383e-03
2.098236174933845177e-01,3.999998911662277189e-03
2.229515858343802392e-01,4.249998775706495188e-03
2.360810947866411880e-01,4.499998631336065737e-03
2.492121267132461071e-01,4.749998479539118551e-03
2.623446638463065028e-01,4.999998319206956296e-03
2.754786885052453727e-01,5.249998151285519346e-03
2.886141829221742228e-01,5.499997975446557254e-03
3.017511293292045593e-01,5.749997791745451066e-03
3.148895099147921428e-01,5.999997599785970859e-03
3.280293068673927337e-01,6.249997399546683256e-03
3.411705023754620925e-01,6.499997191376328393e-03
3.543130785838002339e-01,6.749996975158840257e-03
3.674570176372071728e-01,6.999996751139427216e-03
3.806023016368271783e-01,7.249996519089748487e-03
3.937489126838045195e-01,7.499996279133802103e-03
4.068968328356277198e-01,7.749996030913237563e-03
4.200460441497853026e-01,7.999995774413064253e-03
4.331965286837657914e-01,8.249995509956980708e-03
4.463482684514019638e-01,8.499995237372897153e-03
4.595012454665265977e-01,8.749994956818366379e-03
4.726554417429724708e-01,8.999994668775901721e-03
4.858108392072608694e-01,9.249994372389117037e-03
4.989674198295688257e-01,9.499994067947287874e-03
5.121251655364176258e-01,9.749993755221389100e-03
5.252840582979843020e-01,9.999993435118474661e-03
5.384440799534786493e-01,1.024999310635941671e-02
5.516052124294219539e-01,1.049999276962134201e-02
5.647674376086797565e-01,1.074999242504472499e-02
5.779307373304618523e-01,1.099999207222897811e-02
5.910950934776337817e-01,1.124999171188608565e-02
6.042604878457495943e-01,1.149999134334863705e-02
6.174269022740190849e-01,1.174999096705236536e-02
6.305943185143405572e-01,1.199999058204458818e-02
6.437627184059238061e-01,1.224999018929510269e-02
6.569320837006671354e-01,1.249998978837594393e-02
6.701023961941245943e-01,1.274998937994315656e-02
6.832736375945387408e-01,1.299998896324591757e-02
6.964457896538078785e-01,1.324998853860791595e-02
7.096188340801745653e-01,1.349998810576527423e-02
7.227927525818813592e-01,1.374998766469046237e-02
7.359675268671708182e-01,1.399998721558744219e-02
7.491431386442855000e-01,1.424998675888685361e-02
7.623195695341564715e-01,1.449998629358464214e-02
7.754968012450262904e-01,1.474998582055059293e-02
7.886748153978260234e-01,1.499998533921031475e-02
8.018535936571424827e-01,1.524998485002522844e-02
8.150331176439067349e-01,1.549998435283133497e-02
8.282133689790498465e-01,1.574998384766260542e-02
8.413943292835028842e-01,1.599998333474613246e-02
8.545759801345411688e-01,1.624998281366928782e-02
8.677583031094400212e-01,1.649998228420299085e-02
8.809412798291305080e-01,1.674998174712466134e-02
8.941248918272322044e-01,1.699998120172968932e-02
9.073091206810204312e-01,1.724998064831028202e-02
9.204939479241147637e-01,1.749998008649488249e-02
9.336793551337905228e-01,1.774997951689889428e-02
9.468653238436672837e-01,1.799997893946421457e-02
9.600518355437088758e-01,1.824997835345455732e-02
9.732388718111906201e-01,1.849997775993349886e-02
9.864264141360763460e-01,1.874997715844894941e-02
9.996144440083298832e-01,1.899997654868364541e-02
1.012802942961570807e+00,1.924997593127774145e-02
1.025991892442107201e+00,1.949997530534128623e-02
1.039181273983558640e+00,1.974997467175942586e-02
1.052371069032233208e+00,1.999997402987744102e-02
1.065561259078094736e+00,2.024997337997833796e-02
1.078751825567451306e+00,2.049997272162300266e-02
1.091942749990266748e+00,2.074997205530012059e-02
1.105134013792849146e+00,2.099997138076641415e-02
1.118325598465162329e+00,2.124997069869650340e-02
1.131517485409858637e+00,2.149997000819589901e-02
1.144709656116901897e+00,2.174996931010543533e-02
1.157902091988944449e+00,2.199996860368704649e-02
1.171094774472294375e+00,2.224996788910075379e-02
1.184287685013259761e+00,2.249996716657239396e-02
1.197480805058148690e+00,2.274996643638867166e-02
1.210674116009613499e+00,2.299996569806498845e-02
1.223867599270306528e+00,2.324996495116775364e-02
1.237061236330191605e+00,2.349996419696383232e-02
1.250255008548265323e+00,2.374996343427953488e-02
1.263448897370835766e+00,2.399996266363170483e-02
1.276642884200555272e+00,2.424996188474114536e-02
1.289836950483731925e+00,2.449996109818205689e-02
1.303031077623018064e+00,2.474996030372270117e-02
1.316225247021066025e+00,2.499995950114762208e-02
1.329419440080528148e+00,2.524995869025270512e-02
1.342613638247712515e+00,2.549995787166736347e-02
1.355807822881615721e+00,2.574995704436806518e-02
1.369001975428545848e+00,2.599995620898207238e-02
1.382196077334810980e+00,2.624995536612812971e-02
1.395390109959407710e+00,2.649995451475714581e-02
1.408584054748644121e+00,2.674995365545594986e-02
1.421777893105172552e+00,2.699995278796077716e-02
1.434971606475301087e+00,2.724995191280672052e-02
1.448165176261682063e+00,2.749995102966835622e-02
1.461358583866967820e+00,2.774995013818196479e-02
1.474551810737466440e+00,2.799994923876782116e-02
1.487744838275830261e+00,2.824994833097078939e-02
1.500937647928367369e+00,2.849994741510983309e-02
1.514130221141385846e+00,2.874994649144585815e-02
1.527322539361193776e+00,2.899994556017674446e-02
1.540514583990443498e+00,2.924994462060509851e-02
1.553706336475443095e+00,2.949994367278788165e-02
1.566897778262500651e+00,2.974994271670418355e-02
1.580088890841579996e+00,2.999994175307766839e-02
1.593279655615333468e+00,3.024994078088953306e-02
1.606470054073724896e+00,3.049993980068303745e-02
1.619660067706718110e+00,3.074993881290389100e-02
1.632849677960621193e+00,3.099993781706786647e-02
1.646038866281742230e+00,3.124993681258321845e-02
1.659227614203700796e+00,3.149993580040081481e-02
1.672415903216460720e+00,3.174993478052678259e-02
1.685603714766330086e+00,3.199993375201751894e-02
1.698791030386928469e+00,3.224993271545735507e-02
1.711977831611875445e+00,3.249993167129875543e-02
1.725164099931134842e+00,3.274993061902963659e-02
1.738349816878326237e+00,3.299992955882377621e-02
1.751534963987069204e+00,3.324992849070827067e-02
1.764719522790983319e+00,3.349992741455869172e-02
1.777903474823688157e+00,3.374992633009413212e-02
1.791086801662459038e+00,3.399992523770017233e-02
1.804269484840915538e+00,3.424992413676839625e-02
1.817451505979988724e+00,3.449992302817510986e-02
1.830632846656953916e+00,3.474992191179291506e-02
1.843813488449086435e+00,3.499992078731364170e-02
1.856993412933661602e+00,3.524991965424347645e-02
1.870172601775266230e+00,3.549991851355431549e-02
1.883351036551175639e+00,3.574991736436668177e-02
1.896528698925976641e+00,3.599991620725727370e-02
1.909705570564256050e+00,3.624991504259802988e-02
1.922881633086944930e+00,3.649991386972295526e-02
1.936056868158630095e+00,3.674991268857978610e-02
1.949231257487554103e+00,3.699991149972537557e-02
1.962404782738303766e+00,3.724991030266414788e-02
1.975577425619121641e+00,3.749990909750009621e-02
1.988749167838250287e+00,3.774990788410361592e-02
2.001919991147588007e+00,3.799990666293533853e-02
2.015089877255377360e+00,3.824990543338415566e-02
2.028258807957172394e+00,3.849990419624847726e-02
2.041426765004871413e+00,3.874990295124546014e-02
2.054593730150372721e+00,3.899990169783482119e-02
2.067759685232886113e+00,3.924990043687201502e-02
2.080924612004309893e+00,3.949989916728786910e-02
2.094088492347509600e+00,3.974989789022873726e-02
2.107251308058039285e+00,3.999989660490678445e-02
2.120413040975108743e+00,4.024989531108232738e-02
2.133573673025239259e+00,4.049989400988868171e-02
2.146733186047640629e+00,4.074989270051061763e-02
2.159891561925178394e+00,4.099989138266719318e-02
2.173048782628029585e+00,4.124989005743697618e-02
2.186204830039059743e+00,4.149988872393555600e-02
2.199359686128445901e+00,4.174988738262885163e-02
2.212513332822709344e+00,4.199988603283981436e-02
2.225665752135682851e+00,4.224988467523288493e-02
2.238816926037543453e+00,4.249988330932027991e-02
2.251966836585779674e+00,4.274988193594691371e-02
2.265115465750568546e+00,4.299988055396616882e-02
2.278262795633054338e+00,4.324987916438521873e-02
2.291408808290725574e+00,4.349987776704059700e-02
2.304553485781070776e+00,4.374987636142346759e-02
2.317696810205234215e+00,4.399987494750534633e-02
2.330838763708015904e+00,4.424987352573386823e-02
2.343979328434215859e+00,4.449987209619804540e-02
2.357118486528634094e+00,4.474987065862356256e-02
