time_s,I_A
0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999547e-07,1.048074433347210236e-05
1.999999999999999909e-06,2.096294516231864680e-05
3.000000000000000076e-06,3.144658865639939901e-05
3.999999999999999819e-06,4.193166091572493500e-05
4.999999999999999562e-06,5.241814804030582912e-05
6.000000000000000152e-06,6.290603613015264552e-05
6.999999999999999895e-06,7.339531121542677231e-05
7.999999999999999638e-06,8.388595936121418222e-05
9.000000000000000228e-06,9.437796659767628367e-05
9.999999999999999124e-06,1.048713189200498259e-04
1.099999999999999971e-05,1.153660023235715852e-04
1.200000000000000030e-05,1.258620028034783921e-04
1.299999999999999920e-05,1.363593062851578129e-04
1.399999999999999979e-05,1.468578986939974142e-04
1.499999999999999869e-05,1.573577659553848434e-04
1.599999999999999928e-05,1.678588939947076128e-04
1.699999999999999987e-05,1.783612686675041872e-04
1.800000000000000046e-05,1.888648758293129501e-04
1.899999999999999766e-05,1.993697013705968764e-04
1.999999999999999825e-05,2.098757310770452209e-04
2.099999999999999884e-05,2.203829508041962859e-04
2.199999999999999943e-05,2.308913463377393804e-04
2.300000000000000002e-05,2.414009034633636508e-04
2.400000000000000061e-05,2.519116079318336793e-04
2.499999999999999781e-05,2.624234454939141834e-04
2.599999999999999840e-05,2.729364019003696368e-04
2.699999999999999899e-05,2.834504628670401929e-04
2.799999999999999958e-05,2.939656141097657339e-04
2.900000000000000017e-05,3.044818413094617132e-04
2.999999999999999737e-05,3.149991301470435844e-04
3.100000000000000135e-05,3.255174662685021551e-04
3.199999999999999855e-05,3.360368353198282874e-04
3.299999999999999575e-05,3.465572229470126266e-04
3.399999999999999973e-05,3.570786147611215515e-04
3.499999999999999693e-05,3.676009963732212787e-04
3.600000000000000091e-05,3.781243533943779702e-04
3.699999999999999811e-05,3.886486713658087139e-04
3.799999999999999532e-05,3.991739358636550803e-04
3.899999999999999929e-05,4.097001324291341031e-04
3.999999999999999650e-05,4.202272466383874614e-04
4.100000000000000047e-05,4.307552639627828975e-04
4.199999999999999768e-05,4.412841699435375532e-04
4.299999999999999488e-05,4.518139500869438707e-04
4.399999999999999886e-05,4.623445898643695380e-04
4.499999999999999606e-05,4.728760747821070514e-04
4.600000000000000004e-05,4.834083902765996701e-04
4.699999999999999724e-05,4.939415218192153532e-04
4.800000000000000122e-05,5.044754548114724433e-04
4.899999999999999842e-05,5.150101747247390078e-04
4.999999999999999562e-05,5.255456669605337687e-04
5.099999999999999960e-05,5.360819169552996600e-04
5.199999999999999680e-05,5.466189100756309750e-04
5.300000000000000078e-05,5.571566317230463271e-04
5.399999999999999798e-05,5.676950672641396843e-04
5.499999999999999518e-05,5.782342020655051231e-04
5.599999999999999916e-05,5.887740214937367197e-04
5.699999999999999636e-05,5.993145109154284422e-04
5.800000000000000034e-05,6.098556556273251840e-04
5.899999999999999754e-05,6.203974409960210214e-04
5.999999999999999474e-05,6.309398523182607396e-04
6.099999999999999872e-05,6.414828749257139862e-04
6.200000000000000270e-05,6.520264941151253293e-04
6.299999999999999990e-05,6.625706951832398793e-04
6.399999999999999710e-05,6.731154634268023129e-04
6.499999999999999431e-05,6.836607841076329864e-04
6.599999999999999151e-05,6.942066424875520392e-04
6.700000000000000226e-05,7.047530238633044732e-04
6.799999999999999946e-05,7.152999134617857822e-04
6.899999999999999667e-05,7.258472965448163226e-04
6.999999999999999387e-05,7.363951583392918049e-04
7.099999999999999107e-05,7.469434841070324771e-04
7.200000000000000182e-05,7.574922590749339412e-04
7.299999999999999903e-05,7.680414684349670456e-04
7.399999999999999623e-05,7.785910974489524718e-04
7.499999999999999343e-05,7.891411313088611762e-04
7.599999999999999063e-05,7.996915552066640072e-04
7.700000000000000139e-05,8.102423543692566753e-04
7.799999999999999859e-05,8.207935139536858167e-04
7.899999999999999579e-05,8.313450191868469253e-04
7.999999999999999299e-05,8.418968552257866372e-04
8.099999999999999019e-05,8.524490072624756921e-04
8.200000000000000095e-05,8.630014604539611601e-04
8.299999999999999815e-05,8.735541999922134555e-04
8.399999999999999535e-05,8.841072110342793229e-04
8.499999999999999255e-05,8.946604787721299358e-04
8.599999999999998976e-05,9.052139883278868511e-04
8.700000000000000051e-05,9.157677248935215675e-04
8.799999999999999771e-05,9.263216735911555333e-04
8.899999999999999491e-05,9.368758195778354933e-04
8.999999999999999212e-05,9.474301480106078668e-04
9.099999999999998932e-05,9.579846440465189647e-04
9.200000000000000007e-05,9.685392928076907776e-04
9.299999999999999727e-05,9.790940794162450792e-04
9.399999999999999448e-05,9.896489890641533681e-04
9.499999999999999168e-05,1.000204006838612339e-03
9.600000000000000243e-05,1.010759117896668736e-03
9.699999999999999963e-05,1.021314307360444333e-03
9.799999999999999684e-05,1.031869560386985442e-03
9.899999999999999404e-05,1.042424862098414486e-03
9.999999999999999124e-05,1.052980197616852805e-03
1.010000000000000020e-04,1.063535552064422606e-03
1.019999999999999992e-04,1.074090910598169985e-03
1.029999999999999964e-04,1.084646258305292611e-03
1.039999999999999936e-04,1.095201580342836578e-03
1.049999999999999908e-04,1.105756861867848847e-03
1.060000000000000016e-04,1.116312087967526222e-03
1.069999999999999988e-04,1.126867243798915447e-03
1.079999999999999960e-04,1.137422314484138079e-03
1.089999999999999932e-04,1.147977285180240862e-03
1.099999999999999904e-04,1.158532141009345571e-03
1.110000000000000011e-04,1.169086867093574412e-03
1.119999999999999983e-04,1.179641448589973047e-03
1.129999999999999955e-04,1.190195870620664115e-03
1.139999999999999927e-04,1.200750118342693929e-03
1.149999999999999899e-04,1.211304176913108798e-03
1.160000000000000007e-04,1.221858031488955035e-03
1.169999999999999979e-04,1.232411667192354846e-03
1.179999999999999951e-04,1.242965069180354543e-03
1.189999999999999923e-04,1.253518222610000652e-03
1.199999999999999895e-04,1.264071112673264023e-03
1.210000000000000002e-04,1.274623724492266645e-03
1.219999999999999974e-04,1.285176043258979802e-03
1.229999999999999811e-04,1.295728054165374557e-03
1.240000000000000054e-04,1.306279742368496788e-03
1.250000000000000026e-04,1.316831093025393673e-03
1.259999999999999998e-04,1.327382091362960597e-03
1.269999999999999970e-04,1.337932722573168627e-03
1.279999999999999942e-04,1.348482971813064289e-03
1.289999999999999914e-04,1.359032824309542968e-03
1.299999999999999886e-04,1.369582265289500484e-03
1.309999999999999858e-04,1.380131279944907903e-03
1.319999999999999830e-04,1.390679853502661042e-03
1.330000000000000073e-04,1.401227971189655504e-03
1.340000000000000045e-04,1.411775618232786675e-03
1.350000000000000017e-04,1.422322779858950590e-03
1.359999999999999989e-04,1.432869441329967172e-03
1.369999999999999961e-04,1.443415587872732457e-03
1.379999999999999933e-04,1.453961204783990905e-03
1.389999999999999905e-04,1.464506277325563306e-03
1.399999999999999877e-04,1.475050790759269148e-03
1.409999999999999849e-04,1.485594730346929439e-03
1.419999999999999821e-04,1.496138081420212958e-03
1.430000000000000064e-04,1.506680829240940496e-03
1.440000000000000036e-04,1.517222959140781266e-03
1.450000000000000009e-04,1.527764456451404700e-03
1.459999999999999981e-04,1.538305306469555907e-03
1.469999999999999953e-04,1.548845494526904319e-03
1.479999999999999925e-04,1.559385005990043252e-03
1.489999999999999897e-04,1.569923826190643221e-03
1.499999999999999869e-04,1.580461940495297328e-03
1.509999999999999841e-04,1.590999334270600191e-03
1.519999999999999813e-04,1.601535992918070314e-03
1.530000000000000056e-04,1.612071901804301884e-03
1.540000000000000028e-04,1.622607046365737941e-03
1.550000000000000000e-04,1.633141412003897208e-03
1.559999999999999972e-04,1.643674984120298190e-03
1.569999999999999944e-04,1.654207748186309118e-03
1.579999999999999916e-04,1.664739689603448062e-03
1.589999999999999888e-04,1.675270793878007574e-03
1.599999999999999860e-04,1.685801046446431563e-03
1.609999999999999832e-04,1.696330432780087175e-03
1.619999999999999804e-04,1.706858938420191497e-03
1.630000000000000047e-04,1.717386548838112544e-03
1.640000000000000019e-04,1.727913249540142865e-03
1.649999999999999991e-04,1.738439026102423868e-03
1.659999999999999963e-04,1.748963864031247671e-03
1.669999999999999935e-04,1.759487748902756983e-03
1.679999999999999907e-04,1.770010666258167373e-03
1.689999999999999879e-04,1.780532601708546304e-03
1.699999999999999851e-04,1.791053540830034969e-03
1.709999999999999823e-04,1.801573469268623849e-03
1.719999999999999795e-04,1.812092372600454786e-03
1.730000000000000038e-04,1.822610236506443451e-03
1.740000000000000010e-04,1.833127046632580543e-03
1.749999999999999982e-04,1.843642788624856544e-03
1.759999999999999954e-04,1.854157448164187342e-03
1.769999999999999926e-04,1.864671010966412711e-03
1.779999999999999898e-04,1.875183462747372640e-03
1.789999999999999870e-04,1.885694789222907338e-03
1.799999999999999842e-04,1.896204976108856362e-03
1.809999999999999814e-04,1.906714009225834181e-03
1.819999999999999786e-04,1.917221874289680352e-03
1.830000000000000029e-04,1.927728557121008695e-03
1.840000000000000001e-04,1.938234043505508491e-03
1.849999999999999973e-04,1.948738319298718097e-03
1.859999999999999945e-04,1.959241370321251549e-03
1.869999999999999917e-04,1.969743182428646770e-03
1.879999999999999890e-04,1.980243741511367086e-03
1.889999999999999862e-04,1.990743033424951288e-03
1.899999999999999834e-04,2.001241044094785940e-03
1.909999999999999806e-04,2.011737759446259773e-03
1.920000000000000049e-04,2.022233165439684104e-03
1.930000000000000021e-04,2.032727248000446799e-03
1.939999999999999993e-04,2.043219993123784797e-03
1.949999999999999965e-04,2.053711386839859356e-03
1.959999999999999937e-04,2.064201415108982227e-03
1.969999999999999909e-04,2.074690063996240726e-03
1.979999999999999881e-04,2.085177319566719131e-03
1.989999999999999853e-04,2.095663167850580003e-03
1.999999999999999825e-04,2.106147594947833674e-03
2.009999999999999797e-04,2.116630586993414800e-03
2.020000000000000040e-04,2.127112130087334581e-03
2.030000000000000012e-04,2.137592210399452859e-03
2.039999999999999984e-04,2.148070814099628609e-03
2.049999999999999956e-04,2.158547927357722107e-03
2.059999999999999928e-04,2.169023536413442269e-03
2.069999999999999900e-04,2.179497627471573690e-03
2.079999999999999872e-04,2.189970186771824853e-03
2.089999999999999844e-04,2.200441200588829863e-03
2.099999999999999816e-04,2.210910655232146277e-03
2.109999999999999788e-04,2.221378537011332952e-03
2.120000000000000031e-04,2.231844832235947446e-03
2.130000000000000003e-04,2.242309527285397258e-03
2.139999999999999975e-04,2.252772608504165133e-03
2.149999999999999947e-04,2.263234062306582889e-03
2.159999999999999919e-04,2.273693875106982780e-03
2.169999999999999891e-04,2.284152033354621379e-03
2.179999999999999863e-04,2.294608523498755260e-03
2.189999999999999835e-04,2.305063332023564882e-03
2.199999999999999807e-04,2.315516445448156328e-03
2.209999999999999779e-04,2.325967850291635677e-03
2.220000000000000022e-04,2.336417533108033334e-03
2.229999999999999994e-04,2.346865480486303585e-03
2.239999999999999966e-04,2.357311679015401586e-03
2.249999999999999938e-04,2.367756115319207249e-03
2.259999999999999910e-04,2.378198776021599615e-03
2.269999999999999882e-04,2.388639647816308102e-03
2.279999999999999854e-04,2.399078717362135640e-03
