time_s,root_branch,stack_depth
0,initial,0
1e-06,initial,0
2e-06,initial,0
3e-06,initial,0
4e-06,initial,0
5e-06,initial,0
6e-06,initial,0
7e-06,initial,0
8e-06,initial,0
9e-06,initial,0
1e-05,initial,0
1.1e-05,initial,0
1.2e-05,initial,0
1.3e-05,initial,0
1.4e-05,initial,0
1.5e-05,initial,0
1.6e-05,initial,0
1.7e-05,initial,0
1.8e-05,initial,0
1.9e-05,initial,0
2e-05,initial,0
2.1e-05,initial,0
2.2e-05,initial,0
2.3e-05,initial,0
2.4e-05,initial,0
2.5e-05,initial,0
2.6e-05,initial,0
2.7e-05,initial,0
2.8e-05,initial,0
2.9e-05,initial,0
3e-05,initial,0
3.1e-05,initial,0
3.2e-05,initial,0
3.3e-05,initial,0
3.4e-05,initial,0
3.5e-05,initial,0
3.6e-05,initial,0
3.7e-05,initial,0
3.8e-05,initial,0
3.9e-05,initial,0
4e-05,initial,0
4.1e-05,initial,0
4.2e-05,initial,0
4.3e-05,initial,0
4.4e-05,initial,0
4.5e-05,initial,0
4.6e-05,initial,0
4.7e-05,initial,0
4.8e-05,initial,0
4.9e-05,initial,0
5e-05,initial,0
5.1e-05,initial,0
5.2e-05,initial,0
5.3e-05,initial,0
5.4e-05,initial,0
5.5e-05,initial,0
5.6e-05,initial,0
5.7e-05,initial,0
5.8e-05,initial,0
5.9e-05,initial,0
6e-05,initial,0
6.1e-05,initial,0
6.2e-05,initial,0
6.3e-05,initial,0
6.4e-05,initial,0
6.5e-05,initial,0
6.6e-05,initial,0
6.7e-05,initial,0
6.8e-05,initial,0
6.9e-05,initial,0
7e-05,initial,0
7.1e-05,initial,0
7.2e-05,initial,0
7.3e-05,initial,0
7.4e-05,initial,0
7.5e-05,initial,0
7.6e-05,initial,0
7.7e-05,initial,0
7.8e-05,initial,0
7.9e-05,initial,0
8e-05,initial,0
8.1e-05,initial,0
8.2e-05,initial,0
8.3e-05,initial,0
8.4e-05,initial,0
8.5e-05,initial,0
8.6e-05,initial,0
8.7e-05,initial,0
8.8e-05,initial,0
8.9e-05,initial,0
9e-05,initial,0
9.1e-05,initial,0
9.2e-05,initial,0
9.3e-05,initial,0
9.4e-05,initial,0
9.5e-05,initial,0
9.6e-05,initial,0
9.7e-05,initial,0
9.8e-05,initial,0
9.9e-05,initial,0
0.0001,initial,0
0.000101,initial,0
0.000102,initial,0
0.000103,initial,0
0.000104,initial,0
0.000105,initial,0
0.000106,initial,0
0.000107,initial,0
0.000108,initial,0
0.000109,initial,0
0.00011,initial,0
0.000111,initial,0
0.000112,initial,0
0.000113,initial,0
0.000114,initial,0
0.000115,initial,0
0.000116,initial,0
0.000117,initial,0
0.000118,initial,0
0.000119,initial,0
0.00012,initial,0
0.000121,initial,0
0.000122,initial,0
0.000123,initial,0
0.000124,initial,0
0.000125,initial,0
0.000126,initial,0
0.000127,initial,0
0.000128,initial,0
0.000129,initial,0
0.00013,initial,0
0.000131,initial,0
0.000132,initial,0
0.000133,initial,0
0.000134,initial,0
0.000135,initial,0
0.000136,initial,0
0.000137,initial,0
0.000138,initial,0
0.000139,initial,0
0.00014,initial,0
0.000141,initial,0
0.000142,initial,0
0.000143,initial,0
0.000144,initial,0
0.000145,initial,0
0.000146,initial,0
0.000147,initial,0
0.000148,initial,0
0.000149,initial,0
0.00015,initial,0
0.000151,initial,0
0.000152,initial,0
0.000153,initial,0
0.000154,initial,0
0.000155,initial,0
0.000156,initial,0
0.000157,initial,0
0.000158,initial,0
0.000159,initial,0
0.00016,initial,0
0.000161,initial,0
0.000162,initial,0
0.000163,initial,0
0.000164,initial,0
0.000165,initial,0
0.000166,initial,0
0.000167,initial,0
0.000168,initial,0
0.000169,initial,0
0.00017,initial,0
0.000171,initial,0
0.000172,initial,0
0.000173,initial,0
0.000174,initial,0
0.000175,initial,0
0.000176,initial,0
0.000177,initial,0
0.000178,initial,0
0.000179,initial,0
0.00018,initial,0
0.000181,initial,0
0.000182,initial,0
0.000183,initial,0
0.000184,initial,0
0.000185,initial,0
0.000186,initial,0
0.000187,initial,0
0.000188,initial,0
0.000189,initial,0
0.00019,initial,0
0.000191,initial,0
0.000192,initial,0
0.000193,initial,0
0.000194,initial,0
0.000195,initial,0
0.000196,initial,0
0.000197,initial,0
0.000198,initial,0
0.000199,initial,0
0.0002,initial,0
0.000201,initial,0
0.000202,initial,0
0.000203,initial,0
0.000204,initial,0
0.000205,initial,0
0.000206,initial,0
0.000207,initial,0
0.000208,initial,0
0.000209,initial,0
0.00021,initial,0
0.000211,initial,0
0.000212,initial,0
0.000213,initial,0
0.000214,initial,0
0.000215,initial,0
0.000216,initial,0
0.000217,initial,0
0.000218,initial,0
0.000219,initial,0
0.00022,initial,0
0.000221,initial,0
0.000222,initial,0
0.000223,initial,0
0.000224,initial,0
0.000225,initial,0
0.000226,initial,0
0.000227,initial,0
0.000228,initial,0
0.000229,initial,0
0.00023,initial,0
0.000231,initial,0
0.000232,initial,0
0.000233,initial,0
0.000234,initial,0
0.000235,initial,0
0.000236,initial,0
0.000237,initial,0
0.000238,initial,0
0.000239,initial,0
0.00024,initial,0
0.000241,initial,0
0.000242,initial,0
0.000243,initial,0
0.000244,initial,0
0.000245,initial,0
0.000246,initial,0
0.000247,initial,0
0.000248,initial,0
0.000249,initial,0
0.00025,initial,0
0.000251,initial,0
0.000252,initial,0
0.000253,initial,0
0.000254,initial,0
0.000255,initial,0
0.000256,initial,0
0.000257,initial,0
0.000258,initial,0
0.000259,initial,0
0.00026,initial,0
0.000261,initial,0
0.000262,initial,0
0.000263,initial,0
0.000264,initial,0
0.000265,initial,0
0.000266,initial,0
0.000267,initial,0
0.000268,initial,0
0.000269,initial,0
0.00027,initial,0
0.000271,initial,0
0.000272,initial,0
0.000273,initial,0
0.000274,initial,0
0.000275,initial,0
0.000276,initial,0
0.000277,initial,0
0.000278,initial,0
0.000279,initial,0
0.00028,initial,0
0.000281,initial,0
0.000282,initial,0
0.000283,initial,0
0.000284,initial,0
0.000285,initial,0
0.000286,initial,0
0.000287,initial,0
0.000288,initial,0
0.000289,initial,0
0.00029,initial,0
0.000291,initial,0
0.000292,initial,0
0.000293,initial,0
0.000294,initial,0
0.000295,initial,0
0.000296,initial,0
0.000297,initial,0
0.000298,initial,0
0.000299,initial,0
0.0003,initial,0
0.000301,initial,0
0.000302,initial,0
0.000303,initial,0
0.000304,initial,0
0.000305,initial,0
0.000306,initial,0
0.000307,initial,0
0.000308,initial,0
0.000309,initial,0
0.00031,initial,0
0.000311,initial,0
0.000312,initial,0
0.000313,initial,0
0.000314,initial,0
0.000315,initial,0
0.000316,initial,0
0.000317,initial,0
0.000318,initial,0
0.000319,initial,0
0.00032,initial,0
0.000321,initial,0
0.000322,initial,0
0.000323,initial,0
0.000324,initial,0
0.000325,initial,0
0.000326,initial,0
0.000327,initial,0
0.000328,initial,0
0.000329,initial,0
0.00033,initial,0
0.000331,initial,0
0.000332,initial,0
0.000333,initial,0
0.000334,initial,0
0.000335,initial,0
0.000336,initial,0
0.000337,initial,0
0.000338,initial,0
0.000339,initial,0
0.00034,initial,0
0.000341,initial,0
0.000342,initial,0
0.000343,initial,0
0.000344,initial,0
0.000345,initial,0
0.000346,initial,0
0.000347,initial,0
0.000348,initial,0
0.000349,initial,0
0.00035,initial,0
0.000351,initial,0
0.000352,initial,0
0.000353,initial,0
0.000354,initial,0
0.000355,initial,0
0.000356,initial,0
0.000357,initial,0
0.000358,initial,0
0.000359,initial,0
0.00036,initial,0
0.000361,initial,0
0.000362,initial,0
0.000363,initial,0
0.000364,initial,0
0.000365,initial,0
0.000366,initial,0
0.000367,initial,0
0.000368,initial,0
0.000369,initial,0
0.00037,initial,0
0.000371,initial,0
0.000372,initial,0
0.000373,initial,0
0.000374,initial,0
0.000375,initial,0
0.000376,initial,0
0.000377,initial,0
0.000378,initial,0
0.000379,initial,0
0.00038,initial,0
0.000381,initial,0
0.000382,initial,0
0.000383,initial,0
0.000384,initial,0
0.000385,initial,0
0.000386,initial,0
0.000387,initial,0
0.000388,initial,0
0.000389,initial,0
0.00039,initial,0
0.000391,initial,0
0.000392,initial,0
0.000393,initial,0
0.000394,initial,0
0.000395,initial,0
0.000396,initial,0
0.000397,initial,0
0.000398,initial,0
0.000399,initial,0
0.0004,initial,0
0.000401,initial,0
0.000402,initial,0
0.000403,initial,0
0.000404,initial,0
0.000405,initial,0
0.000406,initial,0
0.000407,initial,0
0.000408,initial,0
0.000409,initial,0
0.00041,initial,0
0.000411,initial,0
0.000412,initial,0
0.000413,initial,0
0.000414,initial,0
0.000415,initial,0
0.000416,initial,0
0.000417,initial,0
0.000418,initial,0
0.000419,initial,0
0.00042,initial,0
0.000421,initial,0
0.000422,initial,0
0.000423,initial,0
0.000424,initial,0
0.000425,initial,0
0.000426,initial,0
0.000427,initial,0
0.000428,initial,0
0.000429,initial,0
0.00043,initial,0
0.000431,initial,0
0.000432,initial,0
0.000433,initial,0
0.000434,initial,0
0.000435,initial,0
0.000436,initial,0
0.000437,initial,0
0.000438,initial,0
0.000439,initial,0
0.00044,initial,0
0.000441,initial,0
0.000442,initial,0
0.000443,initial,0
0.000444,initial,0
0.000445,initial,0
0.000446,initial,0
0.000447,initial,0
0.000448,initial,0
0.000449,initial,0
0.00045,initial,0
0.000451,initial,0
0.000452,initial,0
0.000453,initial,0
0.000454,initial,0
0.000455,initial,0
0.000456,initial,0
0.000457,initial,0
0.000458,initial,0
0.000459,initial,0
0.00046,initial,0
0.000461,initial,0
0.000462,initial,0
0.000463,initial,0
0.000464,initial,0
0.000465,initial,0
0.000466,initial,0
0.000467,initial,0
0.000468,initial,0
0.000469,initial,0
0.00047,initial,0
0.000471,initial,0
0.000472,initial,0
0.000473,initial,0
0.000474,initial,0
0.000475,initial,0
0.000476,initial,0
0.000477,initial,0
0.000478,initial,0
0.000479,initial,0
0.00048,initial,0
0.000481,initial,0
0.000482,initial,0
0.000483,initial,0
0.000484,initial,0
0.000485,initial,0
0.000486,initial,0
0.000487,initial,0
0.000488,initial,0
0.000489,initial,0
0.00049,initial,0
0.000491,initial,0
0.000492,initial,0
0.000493,initial,0
0.000494,initial,0
0.000495,initial,0
0.000496,initial,0
0.000497,initial,0
0.000498,initial,0
0.000499,initial,0
0.0005,initial,0
0.000501,initial,0
0.000502,initial,0
0.000503,initial,0
0.000504,initial,0
0.000505,initial,0
0.000506,initial,0
0.000507,initial,0
0.000508,initial,0
0.000509,initial,0
0.00051,initial,0
0.000511,initial,0
0.000512,initial,0
0.000513,initial,0
0.000514,initial,0
0.000515,initial,0
0.000516,initial,0
0.000517,initial,0
0.000518,initial,0
0.000519,initial,0
0.00052,initial,0
0.000521,initial,0
0.000522,initial,0
0.000523,initial,0
0.000524,initial,0
0.000525,initial,0
0.000526,initial,0
0.000527,initial,0
0.000528,initial,0
0.000529,initial,0
0.00053,initial,0
0.000531,initial,0
0.000532,initial,0
0.000533,initial,0
0.000534,initial,0
0.000535,initial,0
0.000536,initial,0
0.000537,initial,0
0.000538,initial,0
0.000539,initial,0
0.00054,initial,0
0.000541,initial,0
0.000542,initial,0
0.000543,initial,0
0.000544,initial,0
0.000545,initial,0
0.000546,initial,0
0.000547,initial,0
0.000548,initial,0
0.000549,initial,0
0.00055,initial,0
0.000551,initial,0
0.000552,initial,0
0.000553,initial,0
0.000554,initial,0
0.000555,initial,0
0.000556,initial,0
0.000557,initial,0
0.000558,initial,0
0.000559,initial,0
0.00056,initial,0
0.000561,initial,0
0.000562,initial,0
0.000563,initial,0
0.000564,initial,0
0.000565,initial,0
0.000566,initial,0
0.000567,initial,0
0.000568,initial,0
0.000569,initial,0
0.00057,initial,0
0.000571,initial,0
0.000572,initial,0
0.000573,initial,0
0.000574,initial,0
0.000575,initial,0
0.000576,initial,0
0.000577,initial,0
0.000578,initial,0
0.000579,initial,0
0.00058,initial,0
0.000581,initial,0
0.000582,initial,0
0.000583,initial,0
0.000584,initial,0
0.000585,initial,0
0.000586,initial,0
0.000587,initial,0
0.000588,initial,0
0.000589,initial,0
0.00059,initial,0
0.000591,initial,0
0.000592,initial,0
0.000593,initial,0
0.000594,initial,0
0.000595,initial,0
0.000596,initial,0
0.000597,initial,0
0.000598,initial,0
0.000599,initial,0
0.0006,initial,0
0.000601,initial,0
0.000602,initial,0
0.000603,initial,0
0.000604,initial,0
0.000605,initial,0
0.000606,initial,0
0.000607,initial,0
0.000608,initial,0
0.000609,initial,0
0.00061,initial,0
0.000611,initial,0
0.000612,initial,0
0.000613,initial,0
0.000614,initial,0
0.000615,initial,0
0.000616,initial,0
0.000617,initial,0
0.000618,initial,0
0.000619,initial,0
0.00062,initial,0
0.000621,initial,0
0.000622,initial,0
0.000623,initial,0
0.000624,initial,0
0.000625,initial,0
0.000626,initial,0
0.000627,initial,0
0.000628,initial,0
0.000629,initial,0
0.00063,initial,0
0.000631,initial,0
0.000632,initial,0
0.000633,initial,0
0.000634,initial,0
0.000635,initial,0
0.000636,initial,0
0.000637,initial,0
0.000638,initial,0
0.000639,initial,0
0.00064,initial,0
0.000641,initial,0
0.000642,initial,0
0.000643,initial,0
0.000644,initial,0
0.000645,initial,0
0.000646,initial,0
0.000647,initial,0
0.000648,initial,0
0.000649,initial,0
0.00065,initial,0
0.000651,initial,0
0.000652,initial,0
0.000653,initial,0
0.000654,initial,0
0.000655,initial,0
0.000656,initial,0
0.000657,initial,0
0.000658,initial,0
0.000659,initial,0
0.00066,initial,0
0.000661,initial,0
0.000662,initial,0
0.000663,initial,0
0.000664,initial,0
0.000665,initial,0
0.000666,initial,0
0.000667,initial,0
0.000668,initial,0
0.000669,initial,0
0.00067,initial,0
0.000671,initial,0
0.000672,initial,0
0.000673,initial,0
0.000674,initial,0
0.000675,initial,0
0.000676,initial,0
0.000677,initial,0
0.000678,initial,0
0.000679,initial,0
0.00068,initial,0
0.000681,initial,0
0.000682,initial,0
0.000683,initial,0
0.000684,initial,0
0.000685,initial,0
0.000686,initial,0
0.000687,initial,0
0.000688,initial,0
0.000689,initial,0
0.00069,initial,0
0.000691,initial,0
0.000692,initial,0
0.000693,initial,0
0.000694,initial,0
0.000695,initial,0
0.000696,initial,0
0.000697,initial,0
0.000698,initial,0
0.000699,initial,0
0.0007,initial,0
0.000701,initial,0
0.000702,initial,0
0.000703,initial,0
0.000704,initial,0
0.000705,initial,0
0.000706,initial,0
0.000707,initial,0
0.000708,initial,0
0.000709,initial,0
0.00071,initial,0
0.000711,initial,0
0.000712,initial,0
0.000713,initial,0
0.000714,initial,0
0.000715,initial,0
0.000716,initial,0
0.000717,initial,0
0.000718,initial,0
0.000719,initial,0
0.00072,initial,0
0.000721,initial,0
0.000722,initial,0
0.000723,initial,0
0.000724,initial,0
0.000725,initial,0
0.000726,initial,0
0.000727,initial,0
0.000728,initial,0
0.000729,initial,0
0.00073,initial,0
0.000731,initial,0
0.000732,initial,0
0.000733,initial,0
0.000734,initial,0
0.000735,initial,0
0.000736,initial,0
0.000737,initial,0
0.000738,initial,0
0.000739,initial,0
0.00074,initial,0
0.000741,initial,0
0.000742,initial,0
0.000743,initial,0
0.000744,initial,0
0.000745,initial,0
0.000746,initial,0
0.000747,initial,0
0.000748,initial,0
0.000749,initial,0
0.00075,initial,0
0.000751,initial,0
0.000752,initial,0
0.000753,initial,0
0.000754,initial,0
0.000755,initial,0
0.000756,initial,0
0.000757,initial,0
0.000758,initial,0
0.000759,initial,0
0.00076,initial,0
0.000761,initial,0
0.000762,initial,0
0.000763,initial,0
0.000764,initial,0
0.000765,initial,0
0.000766,initial,0
0.000767,initial,0
0.000768,initial,0
0.000769,initial,0
0.00077,initial,0
0.000771,initial,0
0.000772,initial,0
0.000773,initial,0
0.000774,initial,0
0.000775,initial,0
0.000776,initial,0
0.000777,initial,0
0.000778,initial,0
0.000779,initial,0
0.00078,initial,0
0.000781,initial,0
0.000782,initial,0
0.000783,initial,0
0.000784,initial,0
0.000785,initial,0
0.000786,initial,0
0.000787,initial,0
0.000788,initial,0
0.000789,initial,0
0.00079,initial,0
0.000791,initial,0
0.000792,initial,0
0.000793,initial,0
0.000794,initial,0
0.000795,initial,0
0.000796,initial,0
0.000797,initial,0
0.000798,initial,0
0.000799,initial,0
0.0008,initial,0
0.000801,initial,0
0.000802,initial,0
0.000803,initial,0
0.000804,initial,0
0.000805,initial,0
0.000806,initial,0
0.000807,initial,0
0.000808,initial,0
0.000809,initial,0
0.00081,initial,0
0.000811,initial,0
0.000812,initial,0
0.000813,initial,0
0.000814,initial,0
0.000815,initial,0
0.000816,initial,0
0.000817,initial,0
0.000818,initial,0
0.000819,initial,0
0.00082,initial,0
0.000821,initial,0
0.000822,initial,0
0.000823,initial,0
0.000824,initial,0
0.000825,initial,0
0.000826,initial,0
0.000827,initial,0
0.000828,initial,0
0.000829,initial,0
0.00083,initial,0
0.000831,initial,0
0.000832,initial,0
0.000833,initial,0
0.000834,initial,0
0.000835,initial,0
0.000836,initial,0
0.000837,initial,0
0.000838,initial,0
0.000839,initial,0
0.00084,initial,0
0.000841,initial,0
0.000842,initial,0
0.000843,initial,0
0.000844,initial,0
0.000845,initial,0
0.000846,initial,0
0.000847,initial,0
0.000848,initial,0
0.000849,initial,0
0.00085,initial,0
0.000851,initial,0
0.000852,initial,0
0.000853,initial,0
0.000854,initial,0
0.000855,initial,0
0.000856,initial,0
0.000857,initial,0
0.000858,initial,0
0.000859,initial,0
0.00086,initial,0
0.000861,initial,0
0.000862,initial,0
0.000863,initial,0
0.000864,initial,0
0.000865,initial,0
0.000866,initial,0
0.000867,initial,0
0.000868,initial,0
0.000869,initial,0
0.00087,initial,0
0.000871,initial,0
0.000872,initial,0
0.000873,initial,0
0.000874,initial,0
0.000875,initial,0
0.000876,initial,0
0.000877,initial,0
0.000878,initial,0
0.000879,initial,0
0.00088,initial,0
0.000881,initial,0
0.000882,initial,0
0.000883,initial,0
0.000884,initial,0
0.000885,initial,0
0.000886,initial,0
0.000887,initial,0
0.000888,initial,0
0.000889,initial,0
0.00089,initial,0
0.000891,initial,0
0.000892,initial,0
0.000893,initial,0
0.000894,initial,0
0.000895,initial,0
0.000896,initial,0
0.000897,initial,0
0.000898,initial,0
0.000899,initial,0
0.0009,initial,0
0.000901,initial,0
0.000902,initial,0
0.000903,initial,0
0.000904,initial,0
0.000905,initial,0
0.000906,initial,0
0.000907,initial,0
0.000908,initial,0
0.000909,initial,0
0.00091,initial,0
0.000911,initial,0
0.000912,initial,0
0.000913,initial,0
0.000914,initial,0
0.000915,initial,0
0.000916,initial,0
0.000917,initial,0
0.000918,initial,0
0.000919,initial,0
0.00092,initial,0
0.000921,initial,0
0.000922,initial,0
0.000923,initial,0
0.000924,initial,0
0.000925,initial,0
0.000926,initial,0
0.000927,initial,0
0.000928,initial,0
0.000929,initial,0
0.00093,initial,0
0.000931,initial,0
0.000932,initial,0
0.000933,initial,0
0.000934,initial,0
0.000935,initial,0
0.000936,initial,0
0.000937,initial,0
0.000938,initial,0
0.000939,initial,0
0.00094,initial,0
0.000941,initial,0
0.000942,initial,0
0.000943,initial,0
0.000944,initial,0
0.000945,initial,0
0.000946,initial,0
0.000947,initial,0
0.000948,initial,0
0.000949,initial,0
0.00095,initial,0
0.000951,initial,0
0.000952,initial,0
0.000953,initial,0
0.000954,initial,0
0.000955,initial,0
0.000956,initial,0
0.000957,initial,0
0.000958,initial,0
0.000959,initial,0
0.00096,initial,0
0.000961,initial,0
0.000962,initial,0
0.000963,initial,0
0.000964,initial,0
0.000965,initial,0
0.000966,initial,0
0.000967,initial,0
0.000968,initial,0
0.000969,initial,0
0.00097,initial,0
0.000971,initial,0
0.000972,initial,0
0.000973,initial,0
0.000974,initial,0
0.000975,initial,0
0.000976,initial,0
0.000977,initial,0
0.000978,initial,0
0.000979,initial,0
0.00098,initial,0
0.000981,initial,0
0.000982,initial,0
0.000983,initial,0
0.000984,initial,0
0.000985,initial,0
0.000986,initial,0
0.000987,initial,0
0.000988,initial,0
0.000989,initial,0
0.00099,initial,0
0.000991,initial,0
0.000992,initial,0
0.000993,initial,0
0.000994,initial,0
0.000995,initial,0
0.000996,initial,0
0.000997,initial,0
0.000998,initial,0
0.000999,initial,0
0.001,initial,0
0.001001,initial,0
0.001002,initial,0
0.001003,initial,0
0.001004,initial,0
0.001005,initial,0
0.001006,initial,0
0.001007,initial,0
0.001008,initial,0
0.001009,initial,0
0.00101,initial,0
0.001011,initial,0
0.001012,initial,0
0.001013,initial,0
0.001014,initial,0
0.001015,initial,0
0.001016,initial,0
0.001017,initial,0
0.001018,initial,0
0.001019,initial,0
0.00102,initial,0
0.001021,initial,0
0.001022,initial,0
0.001023,initial,0
0.001024,initial,0
0.001025,initial,0
0.001026,initial,0
0.001027,initial,0
0.001028,initial,0
0.001029,initial,0
0.00103,initial,0
0.001031,initial,0
0.001032,initial,0
0.001033,initial,0
0.001034,initial,0
0.001035,initial,0
0.001036,initial,0
0.001037,initial,0
0.001038,initial,0
0.001039,initial,0
0.00104,initial,0
0.001041,initial,0
0.001042,initial,0
0.001043,initial,0
0.001044,initial,0
0.001045,initial,0
0.001046,initial,0
0.001047,initial,0
0.001048,initial,0
0.001049,initial,0
0.00105,initial,0
0.001051,initial,0
0.001052,initial,0
0.001053,initial,0
0.001054,initial,0
0.001055,initial,0
0.001056,initial,0
0.001057,initial,0
0.001058,initial,0
0.001059,initial,0
0.00106,initial,0
0.001061,initial,0
0.001062,initial,0
0.001063,initial,0
0.001064,initial,0
0.001065,initial,0
0.001066,initial,0
0.001067,initial,0
0.001068,initial,0
0.001069,initial,0
0.00107,initial,0
0.001071,initial,0
0.001072,initial,0
0.001073,initial,0
0.001074,initial,0
0.001075,initial,0
0.001076,initial,0
0.001077,initial,0
0.001078,initial,0
0.001079,initial,0
0.00108,initial,0
0.001081,initial,0
0.001082,initial,0
0.001083,initial,0
0.001084,initial,0
0.001085,initial,0
0.001086,initial,0
0.001087,initial,0
0.001088,initial,0
0.001089,initial,0
0.00109,initial,0
0.001091,initial,0
0.001092,initial,0
0.001093,initial,0
0.001094,initial,0
0.001095,initial,0
0.001096,initial,0
0.001097,initial,0
0.001098,initial,0
0.001099,initial,0
0.0011,initial,0
0.001101,initial,0
0.001102,initial,0
0.001103,initial,0
0.001104,initial,0
0.001105,initial,0
0.001106,initial,0
