H_A_per_m,B_T
0.000000000000000000e+00,0.000000000000000000e+00
1.479681978719558444e+01,3.732976279886306148e-02
2.870289680678524036e+01,7.417937192434366500e-02
4.179567622327449072e+01,1.121939403594475332e-01
5.414473903344472205e+01,1.529359848591347326e-01
6.581256017382571599e+01,1.981202916354703469e-01
7.685519486657368304e+01,2.498636517551514891e-01
8.732290002877778079e+01,3.110279495865995170e-01
9.726069691970495512e+01,3.857818991691173705e-01
1.067088806119528215e+02,4.806283472490072151e-01
1.157034813400151876e+02,6.064830667767289185e-01
1.242766822980296695e+02,7.648617543342300928e-01
1.324571980226412222e+02,8.807276039030891290e-01
1.402706171026090374e+02,9.626670796429365184e-01
1.477397126000488470e+02,1.023805228409807810e+00
1.548847232454617711e+02,1.071246672410192780e+00
1.617236081767168798e+02,1.109175246822154515e+00
1.682722777279954016e+02,1.140216685364170202e+00
1.745448025357246991e+02,1.166103107818951212e+00
1.805536030123256808e+02,1.188024017992247439e+00
1.863096210430044266e+02,1.206823700395476484e+00
1.918224755838710678e+02,1.223118214587615826e+00
1.971006036795912166e+02,1.237367783454724313e+00
2.021513882739615724e+02,1.249923187100168365e+00
2.069812740557969732e+02,1.261056529114221059e+00
2.115958724640070443e+02,1.270982121242704821e+00
2.160000568685348128e+02,1.279871044312262951e+00
2.201980488468524868e+02,1.287861508622585527e+00
2.241934963879855616e+02,1.295066348832276670e+00
2.279895447766858183e+02,1.301578559267854818e+00
2.315889008385960324e+02,1.307475420872248106e+00
2.349938911623270599e+02,1.312821640601772311e+00
2.382065148556439453e+02,1.317671755702285896e+00
2.412284913398472668e+02,1.322071996197008215e+00
2.440613036383966516e+02,1.326061751892556595e+00
2.467062375723800187e+02,1.329674726439293631e+00
2.491644172361413894e+02,1.332939862868551817e+00
2.514368370908484280e+02,1.335882082882136501e+00
2.535243909816516350e+02,1.338522887798293537e+00
2.554278983550315729e+02,1.340880845955720657e+00
2.571481279266613456e+02,1.342971996196659523e+00
2.586858190263599226e+02,1.344810169077240714e+00
2.600417008252373989e+02,1.346407264347548205e+00
2.612165096307209069e+02,1.347773470229284287e+00
2.622110044176037604e+02,1.348917449236439747e+00
2.630259807473960336e+02,1.349846490482238925e+00
2.636622832139246952e+02,1.350566634771743102e+00
2.641208165401712904e+02,1.351082780124987615e+00
2.644025554396349662e+02,1.351398759847787456e+00
2.645085533449267814e+02,1.351517412844266630e+00
2.644399500967527956e+02,1.351505181658939403e+00
2.641979786778066455e+02,1.351461945163685341e+00
2.637839710683030034e+02,1.351387622227532948e+00
2.631993632928408715e+02,1.351281927362353530e+00
2.624456997219335790e+02,1.351144376362724220e+00
2.615246366858019655e+02,1.350974291757949919e+00
2.604379454528534552e+02,1.350770808071813489e+00
2.591875146205924807e+02,1.350532876975466978e+00
2.577753519624971545e+02,1.350259272294289659e+00
2.562035857705894841e+02,1.349948594964322179e+00
2.544744657300005031e+02,1.349599277829847788e+00
2.525903633587391823e+02,1.349209590408170012e+00
2.505537720430849902e+02,1.348777643518567659e+00
2.483673066965151293e+02,1.348301393789346436e+00
2.460337030678120698e+02,1.347778648052132988e+00
2.435558167219604400e+02,1.347207067573705341e+00
2.409366217156059520e+02,1.346584172136417790e+00
2.381792089871977964e+02,1.345907343910341725e+00
2.352867844804466984e+02,1.345173831117698615e+00
2.322626670183960300e+02,1.344380751491234705e+00
2.291102859441962778e+02,1.343525095456625351e+00
2.258331785435930783e+02,1.342603729073213792e+00
2.224349872631644303e+02,1.341613396648415168e+00
2.189194567374675557e+02,1.340550723165566449e+00
2.152904306374699104e+02,1.339412216277878986e+00
2.115518483519302038e+02,1.338194268138787502e+00
2.077077415127616291e+02,1.336893156841431507e+00
2.037622303748359229e+02,1.335505047608539053e+00
1.997195200601739771e+02,1.334025993710502123e+00
1.955838966760068161e+02,1.332451937124121466e+00
1.913597233157736923e+02,1.330778708983166414e+00
1.870514359517494256e+02,1.329002029812933250e+00
1.826635392276570258e+02,1.327117509674915485e+00
1.782006021593130072e+02,1.325120648146035585e+00
1.736672537510817165e+02,1.323006834377765895e+00
1.690681785356617297e+02,1.320771347150006436e+00
1.644081120445018769e+02,1.318409355092846846e+00
1.596918362159392473e+02,1.315915917157436610e+00
1.549241747479622404e+02,1.313285983483595709e+00
1.501099884023281561e+02,1.310514396743587717e+00
1.452541702666089805e+02,1.307595894195006547e+00
1.403616409805890441e+02,1.304525110558110157e+00
1.354373439333040210e+02,1.301296581926572049e+00
1.304862404368827526e+02,1.297904750935183760e+00
1.255133048832324221e+02,1.294343973478961018e+00
1.205235198894965549e+02,1.290608525058380751e+00
1.155218714381053928e+02,1.286694436716275591e+00
1.105133440171352106e+02,1.282605376106495054e+00
1.055029157665931763e+02,1.278343382551112128e+00
1.004955536361491539e+02,1.273907591405919693e+00
9.549620855973655864e+01,1.269295671065832076e+00
9.050981065235522749e+01,1.264504481163485572e+00
8.554126443431506743e+01,1.259530418049228828e+00
8.059544408806686988e+01,1.254369624674707140e+00
7.567718875267505041e+01,1.249018130919988590e+00
7.079129786089568199e+01,1.243471961871593479e+00
6.594252652372975376e+01,1.237727229732430878e+00
6.113558096722680801e+01,1.231780217975670721e+00
5.637511402622043732e+01,1.225627467847056007e+00
5.166572069958198199e+01,1.219265863908763237e+00
4.701193377147623664e+01,1.212692727159985662e+00
4.241821950300798250e+01,1.205905915702310427e+00
3.788897339854551660e+01,1.198903931841521331e+00
3.342851605090083922e+01,1.191686039501793415e+00
2.904108906944360058e+01,1.184252392675886112e+00
2.473085109511865198e+01,1.176604172072474697e+00
2.050187390622296846e+01,1.168743735035294939e+00
1.635813861869013408e+01,1.160674772297415336e+00
1.230353198451307151e+01,1.152402478552093434e+00
8.341842791821946435e+00,1.143933726219551250e+00
4.476758370011793886e+00,1.135277253762097427e+00
7.118612031960367403e-01,1.126443850812899328e+00
-2.949374344859947428e+00,1.117446549734895100e+00
-6.503585191300246038e+00,1.108300814208135421e+00
-9.947522577333771210e+00,1.099024718559632907e+00
-1.327805499121080857e+01,1.089639126411207304e+00
-1.649217096838344787e+01,1.080167829408155145e+00
-1.958698176634014487e+01,1.070637684996029737e+00
-2.255972391174336167e+01,1.061078698695082867e+00
-2.540776161763115226e+01,1.051524084532742487e+00
-2.812858906858620855e+01,1.042010257522849592e+00
-3.071983257191051564e+01,1.032576767107814986e+00
-3.317925257298495012e+01,1.023266173786999911e+00
-3.550474553313763693e+01,1.014123834287101067e+00
-3.769434566848272539e+01,1.005197604997877248e+00
-3.974622654833885349e+01,9.965374613570308071e-01
-4.165870255197755512e+01,9.881950152892300387e-01
-4.343023018259978585e+01,9.802229435676474978e-01
-4.505940923758190308e+01,9.726743318743753530e-01
-4.654498383417958962e+01,9.656019539496687454e-01
-4.788584329002439688e+01,9.590574452509061931e-01
-4.908102285789421160e+01,9.530904866756297888e-01
-5.012970431438412788e+01,9.477479026919213290e-01
-5.103121640225285205e+01,9.430728204752170107e-01
-5.178503512636396522e+01,9.391038023976272520e-01
-5.239078390328783996e+01,9.358740746515901154e-01
-5.284823356477595269e+01,9.334108263862794796e-01
-5.315730221546235157e+01,9.317346227598846120e-01
-5.331805494529324108e+01,9.308589536862692526e-01
-5.333070339732633158e+01,9.307899416283267335e-01
-5.319560519168464907e+01,9.307952388518841991e-01
-5.291326320659062787e+01,9.308065121994091307e-01
-5.248432471754465212e+01,9.308241631633842328e-01
-5.190958039585134998e+01,9.308488045946706757e-01
-5.118996316783231748e+01,9.308812550384478746e-01
-5.032654693619943487e+01,9.309225322049273776e-01
-4.932054516519593790e+01,9.309738459096620344e-01
-4.817330933124276271e+01,9.310365908707669558e-01
-4.688632724095658943e+01,9.311123397578036087e-01
-4.546122121853412068e+01,9.312028369160073593e-01
-4.389974616461908852e+01,9.313099931703799905e-01
-4.220378748889311282e+01,9.314358821028031477e-01
-4.037535891874894389e+01,9.315827381539649732e-01
-3.841660018652235919e+01,9.317529569145275303e-01
-3.632977459787315411e+01,9.319490978882278842e-01
-3.411726648401642592e+01,9.321738900577520859e-01
-3.178157854061385024e+01,9.324302404923201504e-01
-2.932532905623918396e+01,9.327212463174044954e-01
-2.675124903343618143e+01,9.330502103280168269e-01
-2.406217920548294842e+01,9.334206605703206927e-01
-2.126106695207437269e+01,9.338363742698038150e-01
-1.835096311722648466e+01,9.343014065744386087e-01
-1.533501873279291772e+01,9.348201246051187630e-01
-1.221648165107062312e+01,9.353972474974275864e-01
-8.998693090053379251e+00,9.360378932508186534e-01
-5.685084094966924795e+00,9.367476333512806397e-01
-2.279171919796056045e+00,9.375325563653849059e-01
1.215443667418327323e+00,9.383993420685933229e-01
4.795084151665690797e+00,9.393553479121411476e-01
8.455996106530605516e+00,9.404087101284575034e-01
1.219435509427016484e+01,9.415684623255337060e-01
1.600626962638382622e+01,9.428446751044391450e-01
1.988778518060915701e+01,9.442486211288172449e-01
2.383488827022785017e+01,9.457929711495546288e-01
2.784351056152540593e+01,9.474920279569615245e-01
3.190953303521308726e+01,9.493620073044312102e-01
3.602879018758474672e+01,9.514213769866649573e-01
4.019707426715425669e+01,9.536912684349797553e-01
4.441013954249275031e+01,9.561959807747106854e-01
4.866370659696904255e+01,9.589636003738785108e-01
5.295346664607399134e+01,9.620267711401353505e-01
5.727508587300519594e+01,9.654236563257392323e-01
6.162420977817561862e+01,9.691991540589340870e-01
6.599646753830984380e+01,9.734064445056668236e-01
7.038747637079218578e+01,9.781089807681102588e-01
7.479284589893568125e+01,9.833830817017559234e-01
7.920818251385216513e+01,9.893213441770590810e-01
8.362909372861777513e+01,9.960371985749475465e-01
8.805119252044518419e+01,1.003671082481904619e+00
9.247010165659773406e+01,1.012398935494459806e+00
9.688145799980772210e+01,1.022444108306535204e+00
1.012809167889891739e+02,1.034094413056217299e+00
1.056641558910757084e+02,1.047727083751795574e+00
1.100268800198463026e+02,1.063846305521185975e+00
1.143648249176511484e+02,1.083141466095985272e+00
1.186737614959922524e+02,1.106580817969536223e+00
1.229494999309662262e+02,1.132722638149301186e+00
1.271878937096315525e+02,1.154695972467612242e+00
1.313848436234192150e+02,1.173124872046978462e+00
1.355363017047695280e+02,1.188829418373791080e+00
1.396382751032435863e+02,1.202392140292217526e+00
1.436868298974255254e+02,1.214238147642066057e+00
1.476780948390055528e+02,1.224684900831840784e+00
1.516082650255099509e+02,1.233974233778828200e+00
1.554736054982242877e+02,1.242293560071531910e+00
1.592704547619345306e+02,1.249790362743181227e+00
1.629952282232045206e+02,1.256582256829576139e+00
1.666444215439887557e+02,1.262764177959763368e+00
1.702146139074759503e+02,1.268413579261809199e+00
1.737024711931523768e+02,1.273594265250133528e+00
1.771047490581716772e+02,1.278359260748004989e+00
1.804182959222146110e+02,1.282752982305752187e+00
1.836400558531318836e+02,1.286812905293377884e+00
1.867670713507591813e+02,1.290570862818830156e+00
1.897964860264082745e+02,1.294054051114763126e+00
1.927255471756427312e+02,1.297285836928455671e+00
1.955516082420606381e+02,1.300286398752139805e+00
1.982721311699203284e+02,1.303073239345641454e+00
2.008846886435572685e+02,1.305661601279456852e+00
2.033869662116635482e+02,1.308064811755145218e+00
2.057767642946130593e+02,1.310294563802322898e+00
2.080520000731414996e+02,1.312361128826041945e+00
2.102107092568076325e+02,1.314273580940684916e+00
2.122510477307883718e+02,1.316039921143334235e+00
2.141712930796822150e+02,1.317667234163930834e+00
2.159698459871206069e+02,1.319161795451627261e+00
2.176452315101141153e+02,1.320529162894370279e+00
2.191961002271856387e+02,1.321774258236317223e+00
2.206212292594697146e+02,1.322901435807264381e+00
2.219195231640865131e+02,1.323914537724921292e+00
2.230900146992247528e+02,1.324816945849345062e+00
2.241318654604991139e+02,1.325611632266727291e+00
2.250443663882720102e+02,1.326301164208238070e+00
2.258269381457628810e+02,1.326887780687171947e+00
2.264791313678923359e+02,1.327373363669084538e+00
2.270006267809384894e+02,1.327759508606412675e+00
2.273912351932102069e+02,1.328047513918027667e+00
2.276508973570689136e+02,1.328238388802582159e+00
2.277796837027561310e+02,1.328332887460974110e+00
2.277777939446120854e+02,1.328332415749247541e+00
2.276455565603922366e+02,1.328299379876177300e+00
2.273834281445145962e+02,1.328233734167213465e+00
2.269919926361931175e+02,1.328135308797158132e+00
2.264719604235327211e+02,1.328003811349910412e+00
2.258241673247822803e+02,1.327838828571400676e+00
