H_upper,B_upper,H_lower,B_lower,H_init,B_init
-600,-1.47767705916,-600,-1.51654345592,-600,-1.49711025754
-598.8,-1.47739087057,-598.8,-1.51640877369,-598.8,-1.49689982213
-597.6,-1.47710336198,-597.6,-1.51627366958,-597.6,-1.49668851578
-596.4,-1.47681452418,-596.4,-1.51613814158,-596.4,-1.49647633288
-595.2,-1.47652434789,-595.2,-1.51600218767,-595.2,-1.49626326778
-594,-1.47623282374,-594,-1.51586580581,-594,-1.49604931477
-592.8,-1.47593994225,-592.8,-1.51572899396,-592.8,-1.49583446811
-591.6,-1.47564569388,-591.6,-1.51559175006,-591.6,-1.49561872197
-590.4,-1.47535006899,-590.4,-1.51545407204,-590.4,-1.49540207052
-589.2,-1.47505305785,-589.2,-1.51531595781,-589.2,-1.49518450783
-588,-1.47475465062,-588,-1.51517740527,-588,-1.49496602794
-586.8,-1.47445483741,-586.8,-1.5150384123,-586.8,-1.49474662485
-585.6,-1.47415360818,-585.6,-1.51489897679,-585.6,-1.49452629249
-584.4,-1.47385095285,-584.4,-1.51475909659,-584.4,-1.49430502472
-583.2,-1.4735468612,-583.2,-1.51461876955,-583.2,-1.49408281537
-582,-1.47324132293,-582,-1.5144779935,-582,-1.49385965821
-580.8,-1.47293432765,-580.8,-1.51433676625,-580.8,-1.49363554695
-579.6,-1.47262586486,-579.6,-1.51419508562,-579.6,-1.49341047524
-578.4,-1.47231592395,-578.4,-1.51405294939,-578.4,-1.49318443667
-577.2,-1.47200449423,-577.2,-1.51391035533,-577.2,-1.49295742478
-576,-1.47169156488,-576,-1.51376730121,-576,-1.49272943305
-574.8,-1.47137712501,-574.8,-1.51362378477,-574.8,-1.49250045489
-573.6,-1.47106116358,-573.6,-1.51347980375,-573.6,-1.49227048366
-572.4,-1.47074366948,-572.4,-1.51333535585,-572.4,-1.49203951267
-571.2,-1.47042463148,-571.2,-1.51319043879,-571.2,-1.49180753514
-570,-1.47010403823,-570,-1.51304505025,-570,-1.49157454424
-568.8,-1.46978187827,-568.8,-1.51289918789,-568.8,-1.49134053308
-567.6,-1.46945814004,-567.6,-1.51275284938,-567.6,-1.49110549471
-566.4,-1.46913281186,-566.4,-1.51260603236,-566.4,-1.49086942211
-565.2,-1.46880588193,-565.2,-1.51245873444,-565.2,-1.49063230819
-564,-1.46847733834,-564,-1.51231095325,-564,-1.4903941458
-562.8,-1.46814716906,-562.8,-1.51216268636,-562.8,-1.49015492771
-561.6,-1.46781536193,-561.6,-1.51201393136,-561.6,-1.48991464665
-560.4,-1.46748190467,-560.4,-1.51186468582,-560.4,-1.48967329524
-559.2,-1.4671467849,-559.2,-1.51171494726,-559.2,-1.48943086608
-558,-1.46680999009,-558,-1.51156471323,-558,-1.48918735166
-556.8,-1.4664715076,-556.8,-1.51141398123,-556.8,-1.48894274441
-555.6,-1.46613132464,-555.6,-1.51126274876,-555.6,-1.4886970367
-554.4,-1.46578942832,-554.4,-1.51111101329,-554.4,-1.48845022081
-553.2,-1.4654458056,-553.2,-1.5109587723,-553.2,-1.48820228895
-552,-1.46510044332,-552,-1.51080602321,-552,-1.48795323326
-550.8,-1.46475332817,-550.8,-1.51065276346,-550.8,-1.48770304581
-549.6,-1.46440444671,-549.6,-1.51049899046,-549.6,-1.48745171858
-548.4,-1.46405378537,-548.4,-1.51034470159,-548.4,-1.48719924348
-547.2,-1.46370133043,-547.2,-1.51018989424,-547.2,-1.48694561234
-546,-1.46334706804,-546,-1.51003456576,-546,-1.4866908169
-544.8,-1.4629909842,-544.8,-1.50987871349,-544.8,-1.48643484884
-543.6,-1.46263306477,-543.6,-1.50972233474,-543.6,-1.48617769975
-542.4,-1.46227329544,-542.4,-1.50956542682,-542.4,-1.48591936113
-541.2,-1.4619116618,-541.2,-1.50940798701,-541.2,-1.48565982441
-540,-1.46154814923,-540,-1.50925001258,-540,-1.48539908091
-538.8,-1.46118274301,-538.8,-1.50909150078,-538.8,-1.48513712189
-537.6,-1.46081542822,-537.6,-1.50893244882,-537.6,-1.48487393852
-536.4,-1.46044618983,-536.4,-1.50877285392,-536.4,-1.48460952187
-535.2,-1.46007501261,-535.2,-1.50861271326,-535.2,-1.48434386294
-534,-1.4597018812,-534,-1.50845202402,-534,-1.48407695261
-532.8,-1.45932678004,-532.8,-1.50829078334,-532.8,-1.48380878169
-531.6,-1.45894969345,-531.6,-1.50812898835,-531.6,-1.4835393409
-530.4,-1.45857060555,-530.4,-1.50796663617,-530.4,-1.48326862086
-529.2,-1.45818950031,-529.2,-1.50780372388,-529.2,-1.4829966121
-528,-1.45780636151,-528,-1.50764024855,-528,-1.48272330503
-526.8,-1.45742117277,-526.8,-1.50747620724,-526.8,-1.48244869
-525.6,-1.45703391752,-525.6,-1.50731159696,-525.6,-1.48217275724
-524.4,-1.45664457903,-524.4,-1.50714641472,-524.4,-1.48189549688
-523.2,-1.45625314038,-523.2,-1.50698065752,-523.2,-1.48161689895
-522,-1.45585958446,-522,-1.50681432232,-522,-1.48133695339
-520.8,-1.45546389397,-520.8,-1.50664740605,-520.8,-1.48105565001
-519.6,-1.45506605144,-519.6,-1.50647990565,-519.6,-1.48077297854
-518.4,-1.45466603919,-518.4,-1.50631181801,-518.4,-1.4804889286
-517.2,-1.45426383937,-517.2,-1.50614314001,-517.2,-1.48020348969
-516,-1.4538594339,-516,-1.50597386851,-516,-1.4799166512
-514.8,-1.45345280452,-514.8,-1.50580400034,-514.8,-1.47962840243
-513.6,-1.45304393278,-513.6,-1.50563353231,-513.6,-1.47933873255
